,Idade,Sexo,Dependentes,Nivel_educacional,Estado_civil,Renda,limite_do_cartao2
0,51,M,3,Graduate,Married,$80K - $120K,0
1,51,M,3,Graduate,Married,$80K - $120K,0
2,40,F,4,High School,Unknown,Less than $40K,0
3,44,M,2,Graduate,Married,$40K - $60K,0
4,44,M,2,Graduate,Married,$40K - $60K,0
5,57,F,2,Graduate,Married,Less than $40K,0
6,57,F,2,Graduate,Married,Less than $40K,0
7,57,F,2,Graduate,Married,Less than $40K,0
8,57,F,2,Graduate,Married,Less than $40K,0
9,57,F,2,Graduate,Married,Less than $40K,0
10,57,F,2,Graduate,Married,Less than $40K,0
11,44,M,4,Unknown,Unknown,$80K - $120K,0
12,61,M,1,High School,Married,$40K - $60K,0
13,62,F,0,Graduate,Married,Less than $40K,0
14,62,F,0,Graduate,Married,Less than $40K,0
15,41,M,3,High School,Married,$40K - $60K,0
16,47,F,4,Unknown,Single,Less than $40K,0
17,47,F,4,Unknown,Single,Less than $40K,0
18,53,M,3,Unknown,Married,$80K - $120K,0
19,53,M,3,Unknown,Married,$80K - $120K,0
20,53,M,2,Uneducated,Married,$60K - $80K,0
21,53,F,2,College,Married,Less than $40K,0
22,53,F,2,College,Married,Less than $40K,0
23,53,F,2,College,Married,Less than $40K,0
24,55,F,1,College,Single,Less than $40K,0
25,55,F,1,College,Single,Less than $40K,0
26,55,F,3,Graduate,Married,Less than $40K,0
27,55,F,3,Graduate,Married,Less than $40K,0
28,57,F,1,Graduate,Unknown,$40K - $60K,0
29,49,M,3,High School,Married,$60K - $80K,0
30,49,M,3,High School,Married,$60K - $80K,0
31,49,M,3,High School,Married,$60K - $80K,0
32,56,M,2,Doctorate,Married,$60K - $80K,0
33,59,M,1,Doctorate,Married,$40K - $60K,0
34,52,F,3,Unknown,Married,Less than $40K,0
35,52,F,3,Unknown,Married,Less than $40K,0
36,52,F,3,Unknown,Married,Less than $40K,0
37,54,F,1,Graduate,Married,Less than $40K,0
38,54,F,1,Graduate,Married,Less than $40K,0
39,66,F,0,High School,Married,Less than $40K,0
40,49,F,4,Graduate,Unknown,Less than $40K,0
41,49,F,3,Graduate,Single,Less than $40K,0
42,49,F,3,Graduate,Single,Less than $40K,0
43,49,F,3,Graduate,Single,Less than $40K,0
44,49,F,3,Graduate,Single,Less than $40K,0
45,49,F,3,Graduate,Single,Less than $40K,0
46,49,F,3,Graduate,Single,Less than $40K,0
47,56,M,2,Uneducated,Married,$40K - $60K,0
48,42,M,2,High School,Single,$60K - $80K,0
49,55,M,3,Unknown,Married,$80K - $120K,0
50,44,F,2,Uneducated,Single,Less than $40K,0
51,44,F,2,Uneducated,Single,Less than $40K,0
52,44,F,2,Uneducated,Single,Less than $40K,0
53,49,M,2,Graduate,Married,$60K - $80K,0
54,55,F,2,Graduate,Married,Less than $40K,0
55,55,F,2,Graduate,Married,Less than $40K,0
56,55,F,2,Graduate,Married,Less than $40K,0
57,55,F,2,Graduate,Married,Less than $40K,0
58,54,M,1,Graduate,Unknown,$60K - $80K,0
59,49,M,3,Graduate,Divorced,$60K - $80K,0
60,55,F,4,Unknown,Married,$40K - $60K,0
61,52,M,2,Graduate,Married,$60K - $80K,0
62,52,M,2,Graduate,Married,$60K - $80K,0
63,43,F,3,Uneducated,Single,Less than $40K,0
64,43,F,3,Uneducated,Single,Less than $40K,0
65,43,F,3,Uneducated,Single,Less than $40K,0
66,43,F,3,Uneducated,Single,Less than $40K,0
67,43,F,3,Uneducated,Single,Less than $40K,0
68,53,M,0,Graduate,Single,$80K - $120K,0
69,45,F,3,Unknown,Married,Unknown,0
70,64,M,1,Graduate,Married,Less than $40K,0
71,45,M,3,Graduate,Married,$40K - $60K,0
72,45,M,3,Graduate,Married,$40K - $60K,0
73,53,M,3,Doctorate,Married,$40K - $60K,0
74,53,M,3,Graduate,Married,$120K +,0
75,44,F,2,Graduate,Single,Less than $40K,0
76,44,F,2,Graduate,Single,Less than $40K,0
77,44,F,2,Graduate,Single,Less than $40K,0
78,44,F,2,Graduate,Single,Less than $40K,0
79,44,F,2,Graduate,Single,Less than $40K,0
80,44,F,2,Graduate,Single,Less than $40K,0
81,44,M,3,High School,Unknown,$60K - $80K,0
82,62,F,1,Unknown,Married,Less than $40K,0
83,42,M,4,High School,Divorced,$60K - $80K,0
84,54,F,0,Uneducated,Married,Less than $40K,0
85,55,F,1,Doctorate,Married,Less than $40K,0
86,47,F,3,High School,Single,$40K - $60K,0
87,47,F,3,High School,Single,$40K - $60K,0
88,47,F,3,High School,Single,$40K - $60K,0
89,47,M,3,Graduate,Single,$60K - $80K,0
90,47,M,3,Graduate,Single,$60K - $80K,0
91,42,F,1,Graduate,Married,Less than $40K,0
92,42,F,1,Graduate,Married,Less than $40K,0
93,42,F,1,Graduate,Married,Less than $40K,0
94,52,M,1,Graduate,Married,$80K - $120K,0
95,52,M,1,Graduate,Married,$80K - $120K,0
96,47,M,2,Doctorate,Single,Less than $40K,0
97,63,F,1,College,Married,Unknown,0
98,48,F,4,Uneducated,Married,Less than $40K,0
99,48,F,4,Uneducated,Married,Less than $40K,0
100,48,F,4,Uneducated,Married,Less than $40K,0
101,41,F,2,Graduate,Single,Less than $40K,0
102,41,F,2,Graduate,Single,Less than $40K,0
103,41,F,2,Graduate,Single,Less than $40K,0
104,41,F,2,Graduate,Single,Less than $40K,0
105,47,M,4,Uneducated,Single,$60K - $80K,0
106,53,F,1,College,Married,Less than $40K,0
107,53,F,1,College,Married,Less than $40K,0
108,42,F,5,Unknown,Married,$40K - $60K,0
109,43,F,4,Graduate,Divorced,Less than $40K,0
110,43,F,4,Graduate,Divorced,Less than $40K,0
111,56,M,0,High School,Married,$80K - $120K,0
112,59,F,1,College,Single,Unknown,0
113,47,F,4,Unknown,Divorced,Less than $40K,0
114,50,F,4,Uneducated,Married,$40K - $60K,0
115,51,F,3,Uneducated,Married,Less than $40K,0
116,51,F,3,Uneducated,Married,Less than $40K,0
117,51,F,3,Uneducated,Married,Less than $40K,0
118,51,F,3,Uneducated,Married,Less than $40K,0
119,47,F,3,Uneducated,Married,Less than $40K,0
120,47,F,3,Uneducated,Married,Less than $40K,0
121,47,F,3,Uneducated,Married,Less than $40K,0
122,47,F,3,Uneducated,Married,Less than $40K,0
123,47,F,3,Uneducated,Married,Less than $40K,0
124,58,F,4,Uneducated,Married,Less than $40K,0
125,53,M,3,High School,Married,$60K - $80K,0
126,53,M,3,High School,Married,$60K - $80K,0
127,53,M,2,Unknown,Married,$80K - $120K,0
128,53,M,2,Unknown,Married,$80K - $120K,0
129,67,F,1,Graduate,Married,Less than $40K,0
130,59,F,1,Uneducated,Married,$40K - $60K,0
131,59,F,1,Uneducated,Married,$40K - $60K,0
132,59,F,1,Uneducated,Married,Less than $40K,0
133,53,M,1,Graduate,Married,$60K - $80K,0
134,60,F,0,College,Single,Less than $40K,0
135,60,F,0,College,Single,Less than $40K,0
136,51,F,5,Post-Graduate,Married,Less than $40K,0
137,68,M,0,High School,Married,Less than $40K,0
138,59,M,2,Post-Graduate,Married,$60K - $80K,0
139,63,M,1,Graduate,Married,$40K - $60K,0
140,63,M,1,Graduate,Married,$40K - $60K,0
141,53,F,2,High School,Married,Less than $40K,0
142,53,F,2,High School,Married,Less than $40K,0
143,53,F,2,High School,Married,Less than $40K,0
144,53,F,2,High School,Married,Less than $40K,0
145,48,M,2,College,Single,Less than $40K,0
146,50,M,2,Unknown,Single,$40K - $60K,0
147,60,F,1,Uneducated,Married,Less than $40K,0
148,44,M,4,Graduate,Single,$80K - $120K,0
149,48,F,3,Graduate,Divorced,$40K - $60K,0
150,44,F,2,Graduate,Divorced,Less than $40K,0
151,44,F,2,Graduate,Divorced,Less than $40K,0
152,45,M,3,College,Single,$60K - $80K,0
153,51,F,2,Graduate,Married,Less than $40K,0
154,51,F,2,Graduate,Married,Less than $40K,0
155,60,F,1,Uneducated,Married,$40K - $60K,0
156,43,M,1,College,Single,$60K - $80K,0
157,52,M,1,Uneducated,Married,$80K - $120K,0
158,53,F,2,Unknown,Married,Less than $40K,0
